date,R_t
2017-06-26,1.055
2017-06-27,1.063
2017-06-28,1.074
2017-07-05,1.088
2017-07-15,1.109
2017-07-18,1.129
2017-07-20,1.247
2017-07-22,1.314
2017-07-24,1.419
2017-07-25,1.426
2017-07-27,1.436
2017-07-28,1.483
2017-07-30,1.636
2017-08-02,1.675
2017-08-03,1.711
2017-08-04,1.897
2017-08-05,2.026
2017-08-06,2.147
2017-08-07,2.213
2017-08-08,2.362
2017-08-10,2.504
2017-08-11,2.713
2017-08-12,2.811
2017-08-13,3.051
2017-08-14,3.155
2017-08-15,3.203
2017-08-16,3.262
2017-08-17,3.244
2017-08-18,3.204
2017-08-19,3.139
2017-08-20,3.046
2017-08-21,2.894
2017-08-22,2.776
2017-08-23,2.674
2017-08-24,2.58
2017-08-25,2.477
2017-08-26,2.212
2017-08-27,2.082
2017-08-28,1.885
2017-08-29,1.868
2017-08-30,1.9
2017-08-31,1.845
2017-09-01,1.824
2017-09-02,1.795
2017-09-03,1.951
2017-09-04,1.923
2017-09-05,1.936
2017-09-06,1.906
2017-09-07,1.888
2017-09-08,1.788
2017-09-09,1.726
2017-09-10,1.708
2017-09-11,1.647
2017-09-12,1.571
2017-09-13,1.417
2017-09-14,1.273
2017-09-15,1.19
2017-09-16,1.034
2017-09-17,1.022
2017-09-18,0.844
2017-09-19,0.737
2017-09-20,0.714
2017-09-21,0.686
2017-09-22,0.703
2017-09-23,0.694
2017-09-24,0.655
2017-09-26,0.586
2017-09-27,0.562
2017-09-28,0.527
2017-09-29,0.526
2017-09-30,0.519
2017-10-01,0.532
2017-10-04,0.558
2017-10-05,0.586
2017-10-06,0.629
2017-10-08,0.64
2017-10-10,0.641
2017-10-14,0.666
2017-10-15,0.665
2017-10-19,0.677
2017-10-29,0.707
2017-11-05,0.714
