day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
0,,,,1.0
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,0.600573576823788,0.07494142857684966,1.6610333568939686,0.950356381133322
13,0.5289887138907363,0.06600884795774781,1.4630478813934886,0.9317083470961821
14,0.4861563287342569,0.06066409045117135,1.3445844270462173,0.9097305964549595
15,0.4651278982875453,0.058040097856059444,1.2864251510423697,0.8844077418435867
16,0.23514593794823582,0.006697639132648793,0.8533894992383699,0.8569065158675084
17,0.24080355938410916,0.006858784619818381,0.8739220874947022,0.841928410262611
18,0.25312992714908217,0.007209875367234465,0.9186568292732055,0.8269883439965582
19,0.533100949940887,0.06652198549182539,1.4744212776172227,0.8115557002151113
20,0.5810124852659531,0.07250053506698284,1.6069323660600774,0.9786351709742412
21,0.6405666848125549,0.07993189229614482,1.7716440946599015,0.9753793804301997
22,1.0613927585457574,0.2219558273424616,2.544931827924214,0.971956239807254
23,1.1857853818787014,0.24796850493505385,2.8431915849558522,0.9961828326478478
24,1.761269417017382,0.483860572667231,3.848722932975085,0.9954791625367152
25,1.9559114156472805,0.5373331351339352,4.27405429716558,0.9992756705204974
26,2.1394711166983553,0.5877611396237913,4.675168643545186,0.9990972209174522
27,2.2820758690747662,0.6269378927560677,4.986788305772541,0.999839222263921
28,2.934804818461624,0.9582189158365161,5.997828913065284,0.9997844322628976
29,2.9102727123117824,0.9502091401913981,5.947692912661332,0.9999541475868342
30,2.783101602911673,0.9086875501324808,5.687794689764728,0.9999895754268833
31,2.588316306789367,0.8450898096295714,5.289714083663385,0.9999811536439701
32,2.835297018630995,1.0447026996218658,5.504065372053361,0.9999954647745866
33,2.1451820708079885,0.7004057050850321,4.384085431216438,0.9999987297145773
34,2.3287367827565046,0.8580538785418463,4.5206972681775275,0.9999974315778724
35,1.7661846473154807,0.5766623822039597,3.609532489807489,0.99999930598485
36,1.2945888512562456,0.3556528586059459,2.8289333548080404,0.9999986308353898
37,2.0785451118930016,0.8382649965498722,3.87220151948611,0.9999976271637707
38,2.2047545475136707,0.9541960614518533,3.969996805858503,0.9999999941013584
39,2.0658089210495922,0.8940617622948349,3.7198040150680445,0.9999999998467973
40,2.196528301579599,1.0064136392605225,3.8431717967067596,0.999999999961482
41,2.094385656772191,0.9596135362022588,3.664457171685735,0.9999999999901725
42,2.2298628111673255,1.0711072768419974,3.806267812956033,0.9999999999977421
43,2.7794525591183246,1.4815508915226383,4.478871054697303,0.9999999999994195
44,2.0471740778651744,0.983353343883878,3.4944269939266017,0.999999999999999
45,1.7525184058791496,0.8029755070597112,3.066306637542846,0.9999999999999967
46,1.6537315466826377,0.7577129705362428,2.89346348734248,0.9999999999999991
47,2.063191720042251,1.0674053541262962,3.38162446260211,0.9999999999999998
48,2.2417358230190874,1.2267570226994928,3.5576112169133833,1.0
49,2.3828625014770295,1.363063944157009,3.682805583482501,1.0
50,2.0847065791723516,1.1677965057175417,3.262923412889772,1.0
51,2.476162579514367,1.4916815382041868,3.7060667386711525,1.0
52,2.704167321090173,1.6954669361468513,3.9445289949194873,1.0
53,3.372289789734591,2.2591417430637737,4.704873112393709,1.0
54,3.301147221669041,2.2278926250624456,4.5820744637143305,1.0
55,3.6307000950795922,2.5294683962770437,4.927811797002632,1.0
56,3.5934765441756427,2.5306453877620103,4.8397316474432515,1.0
57,3.5107091213910757,2.4969168838355875,4.694537250912282,1.0
58,3.2973006235401763,2.356056439959077,4.394263261403066,1.0
59,3.2062515146022563,2.3207460422972637,4.232638958808759,1.0
60,2.470957533388053,1.740130263368328,3.327911349027565,1.0
61,1.9617277415340142,1.350687248832084,2.6849980412727055,1.0
62,1.7436588067964283,1.200542596605201,2.3865291710843337,1.0
63,1.413930636845227,0.9542396708331787,1.962570897179267,1.0
64,1.270959753395749,0.8577508578699352,1.7641237543774047,1.0
65,1.0403826050968723,0.6858455166002405,1.467611272237951,1.0
66,1.030977178602848,0.6906653121620128,1.4383748460365335,1.0
67,1.1666228172047133,0.812773148212982,1.583412986675729,1.0
68,1.334731295507545,0.9621143688211928,1.76738867271635,1.0
69,1.2626156434420128,0.9062288557552096,1.677180389762753,1.0
70,1.452778152676588,1.0713059183643714,1.8914511686601778,1.0
71,1.6845500366179496,1.272623346055416,2.153346842446475,1.0
72,1.9867058605567922,1.5366416964820873,2.4936957915020113,1.0
73,1.9309891195214266,1.4872223708825445,2.4318111934815128,1.0
74,2.048135699296336,1.5905795426843183,2.562654564754283,1.0
75,1.8473782775796592,1.4164999111822834,2.3345991387702383,1.0
76,2.036170154162429,1.5874109204830376,2.539943888667255,1.0
77,2.014356135471961,1.5762202141476005,2.505407703231321,1.0
78,1.7251373400606447,1.3315342057164434,2.1689306007124265,1.0
79,1.4206045002305414,1.0760608180624203,1.8122677971244452,1.0
80,1.210475027579034,0.9041462944322226,1.5608059338789617,1.0
81,0.9561150634198816,0.694820315582782,1.2584689131126114,1.0
82,0.9971017890165488,0.7377560498328595,1.2949074099928928,1.0
83,0.9018873959169417,0.6627637440327372,1.1772751432977357,1.0
84,0.7674991924911297,0.5532364481448575,1.0162864867957988,1.0
85,0.7923984915665794,0.5780657266095135,1.040005455737257,1.0
86,0.7737430174175352,0.5644562986083421,1.0155205594371464,1.0
87,0.8165987505662392,0.6021752686731888,1.0631744827930365,1.0
88,0.8009808143838988,0.5886112233553741,1.0455571364026284,0.9999999999999963
89,0.7246869771391532,0.5223761186614309,0.9595965562295095,0.9999999999994
90,0.5461398842688805,0.3711739666519826,0.7543587621109692,0.9999999999399325
91,0.4521539899016892,0.29271976593185184,0.6456962116392443,0.9999999984338535
92,0.3352324230464277,0.19880658119772013,0.5067188709003462,0.9999999673175637
93,0.3069591610047222,0.17558921861201499,0.47441718158247403,0.9999997750831557
94,0.2767200683923914,0.15143099545291958,0.43915184347278363,0.9999990859208631
95,0.24468764068407348,0.12659070663067754,0.4010493563907448,0.9999978088418003
96,0.2742901280676223,0.1462067709849135,0.4419971519790889,0.9999930782812211
97,0.2858635137541754,0.15237581309559708,0.46064676050948,0.999986621678944
98,0.3008679736809843,0.1603737445258176,0.4848252776196507,0.9999681555445169
99,0.29585131160825934,0.15306055708166388,0.48490793313523084,0.9998753398211654
100,0.29256254646185076,0.14625587847556396,0.4887365156516197,0.9995795785376368
101,0.2903831356483122,0.13948458537782424,0.49566994754480337,0.99911239412643
102,0.32014621816629224,0.15378118430157978,0.5464740877973765,0.9988237987744344
103,0.24930103507782447,0.10054163853055208,0.46443247313436486,0.9979046072275762
104,0.23851023377351302,0.08788225130323123,0.46301177970659685,0.9959830456579458
105,0.266203083099252,0.09808604803447814,0.5167709633214719,0.9951103284324557
106,0.34568142879196007,0.1394112834287929,0.6439832102596492,0.9914769630995209
107,0.32925104531419,0.12131690388442584,0.6391638213978807,0.9887922971335062
108,0.24351915388889725,0.066900223280808,0.5321376406898901,0.9801579126229913
109,0.2019556094969008,0.0422324573362946,0.48423475127217863,0.9709494060122916
110,0.2951775636309063,0.08109195765110978,0.6450215097527978,0.9612232589922324
111,0.3241700905779811,0.08905686100782509,0.7083759303019646,0.9633366591960622
112,0.35582896158844946,0.09775426942763644,0.7775568413612333,0.965997212890784
113,0.29399292026740503,0.061479072026253266,0.704915248336556,0.9504504335285695
114,0.3232490790941802,0.06759704756827259,0.7750635785956385,0.9347224738258654
115,0.4732152518483437,0.13000294023270823,1.034069163084961,0.9140982230688908
116,0.5220528736369973,0.14341974030772506,1.1407890511122336,0.9355804457875174
117,0.43368043679062773,0.09069017983690547,1.0398480089959676,0.9088868557481102
118,0.32110827598255265,0.040068883911358676,0.8881036032296653,0.8822094665641766
119,0.35359380719162686,0.044122528978064894,0.9779502981842858,0.860488360066505
120,0.38768588514686814,0.048376643917038865,1.0722402917417286,0.8344162432851447
121,0.42245514033909576,0.052715259126250955,1.1684031848448229,0.8030420555708759
122,0.23296439594072524,0.006635502481484375,0.8454722668268674,0.7643258537023991
