day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
0,2.951876514575448,0.7714330065914609,7.839072028812747,1.0
1,2.9936833955185946,0.8224239547967648,7.595679880215698,0.892410529094811
2,2.828964552984374,0.8026446752668254,7.154739452956459,0.9826311628016162
3,2.500784822301185,0.7326787207541351,6.1123938700653175,0.9964322785245014
4,2.2173248616217687,0.6850147632177349,5.222162085487634,0.996412210346114
5,1.9675867113476502,0.6282178378092566,4.560973834117451,0.9963335831690456
6,1.7545454858421947,0.5815983340937181,3.8681380324109726,0.99611594493736
7,1.5626192982814329,0.5744835605221896,3.3156264792867085,0.9956364966492002
8,1.4172285431590075,0.5355643560007516,2.896999527745395,0.9947104469559225
9,1.3106924336764028,0.5168071543631104,2.552827513227644,0.9930415940752034
10,1.1968844652760189,0.48418469818772647,2.3515947241474704,0.9967146082427788
11,1.116200008175228,0.4712108461818022,2.1407689434744683,0.9951542629740809
12,1.0615272832135036,0.43894096867987986,2.036515462400165,0.9926027483645836
13,1.0337630074222908,0.42519565008771154,1.9660314695910863,0.9886280794643746
14,1.0305407144492904,0.42974906638800386,1.9418359035572306,0.9826471381294776
15,1.0445777573482469,0.44897612092832595,2.015084747357573,0.9738786974061451
16,1.0796840234254408,0.45791173361138265,2.0457192587232766,0.9614972457703939
17,1.1375861775150538,0.4879047776417285,2.1647656878081367,0.9441536122934996
18,1.2155940541376262,0.5177133989203972,2.3095558966362484,0.9201996662125257
19,1.3215024614545787,0.5707093475792131,2.5330502047502086,0.8877246909759627
20,1.406593532017165,0.6008237214716386,2.682218043735588,0.9753859228044597
21,1.5151336678262464,0.6460556307090685,2.964233504354484,0.9671709133425651
22,1.641389573162465,0.6963752649565151,3.251061242630251,0.957333000606154
23,1.7378820281061618,0.7272828633824537,3.3580784401112096,0.9912112223974707
24,1.860853740534354,0.7887039204498216,3.6159900999931582,0.9892345014476889
25,1.9323372140794146,0.8414500562334053,3.8106244531996936,0.9977961478225869
26,2.0234211897953913,0.8933024869888265,3.887199620711719,0.9973712648805598
27,2.068399371618347,0.9275731317133318,3.9631712979868636,0.99946101110642
28,2.144128123650786,0.9489079739447264,4.081922655870913,0.9993366675354617
29,2.168184469371028,0.9778014592142256,4.135015057916135,0.9998603023873289
30,2.1378095729737363,0.9786191744603495,3.9505609708853164,0.9999687180254706
31,2.1591413994401054,1.016439872934638,3.940408489845332,0.9999560309252216
32,2.1489498543897523,1.0116777803074117,3.8457881207322937,0.99998995894788
33,2.117696940291212,1.0161874133559687,3.813614505322206,0.9999976095681875
34,2.1293436508506938,1.0421070985525291,3.7946491302414262,0.9999960249120212
35,2.1259153366528056,1.0630201514043705,3.695349629520406,0.9999990444713155
36,2.186977274333741,1.1131158712440627,3.80161719181161,0.9999981742680567
37,2.3408711446185877,1.2079436736616211,3.9977706481847406,0.999996228879542
38,2.339840757445305,1.2604446978827282,3.938066883361843,0.9999999863730258
39,2.282536002376033,1.2378175444008166,3.779294195279812,0.9999999994791477
40,2.258499872890457,1.2389617804546398,3.7596483678570594,0.9999999998330942
41,2.252110535485585,1.254409569877897,3.7628721164172307,0.9999999999432078
42,2.272047739229929,1.274034643632905,3.6979430924348264,0.9999999999801198
43,2.3244036856579395,1.304337529006584,3.68511963951422,0.9999999999919873
44,2.2615030420601125,1.2787078952303002,3.639495641292092,0.9999999999999101
45,2.3064944242146885,1.3347310043514338,3.6201505642052103,0.9999999999997279
46,2.4241163810490387,1.4296034286395176,3.7383215689775446,0.9999999999998483
47,2.647114069888291,1.567917676753198,4.086328911956759,0.9999999999998973
48,2.742153699393886,1.650843861881608,4.225817720576347,0.9999999999999989
49,2.831003104996573,1.7170597177075828,4.312295609783239,0.9999999999999999
50,2.9164350932733507,1.797632796602562,4.346684939860562,1.0
51,3.1383374732512834,1.9897347258304343,4.679154539071456,1.0
52,3.3415380505579146,2.132035995732975,4.910986811716314,1.0
53,3.575722522794419,2.288505583487653,5.285186218138383,1.0
54,3.424059222774628,2.2242216598868865,5.037815169680147,1.0
55,3.2593397492230394,2.1404868674112607,4.72473532290151,1.0
56,2.8222955303774317,1.8476061255991223,4.037953276585833,1.0
57,2.4355560962333453,1.593440983890349,3.533607706825594,1.0
58,2.1630063670002513,1.4055384019536858,3.1474186992880253,1.0
59,1.8868474244275404,1.2340732742567018,2.723925926944635,1.0
60,1.5382767196445042,1.005698681178971,2.2383675480599083,1.0
61,1.3564374328667919,0.8833002213791488,1.9545598989780992,1.0
62,1.3471739438332317,0.8810559828791181,1.9705531500942628,1.0
63,1.212741783479269,0.7893791628354405,1.7377813239749826,1.0
64,1.2000710226711,0.787552336269192,1.7222898766696304,1.0
65,1.241044284986521,0.8101257694256692,1.7789993138056306,1.0
66,1.4393385895724484,0.9557055124028943,2.0240071672954087,1.0
67,1.5570079098976466,1.0561029329874136,2.1499547711965428,1.0
68,1.6475976834698502,1.1334518676130763,2.3129460300261164,1.0
69,1.7402683596499213,1.1955181099879002,2.432581049021872,1.0
70,1.9089365058751568,1.342125455517376,2.6042881649651095,1.0
71,2.0765748701455142,1.434953576597431,2.886203514227205,1.0
72,2.0582186686896975,1.4421977301003832,2.7977104793524314,1.0
73,1.8680113393392865,1.2842222227783124,2.5891645049765852,1.0
74,1.7923209965842557,1.2659804210825487,2.4396740179569942,1.0
75,1.5425889993626754,1.0603200165474078,2.150297965165364,1.0
76,1.616914270696911,1.1292328236940736,2.258363602131715,1.0
77,1.3736617374492355,0.9555687696557741,1.9097015503687886,1.0
78,1.0588975440438457,0.7302780814819934,1.4881244631645918,1.0
79,0.8709547332896048,0.5843369092502025,1.2252039055898964,1.0
80,0.7686645823199987,0.5189141992424638,1.0885725279508898,1.0
