day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
0,2.2325352376869834,0.6070538296055911,5.836084733951276,1.0,0.7138597821073452,0.6128243812757397,0.8173134968836375,3.1301143064966253,0.8450440761962226,8.15398934816903
1,2.357021856671665,0.634529678967359,5.970205780310319,0.8925435199615263,0.7424165784457056,0.6401597786528032,0.8446083713557583,3.1794044647883446,0.865774733180013,8.098484285369013
2,2.2992887089090717,0.667447614742863,5.602062720580798,0.9834737941115796,0.769197256394857,0.6707506899328357,0.8707748704723682,2.9949378088144734,0.8676516736664652,7.366191560986513
3,2.0987289393125437,0.6381918847757568,5.009895596399218,0.9968830968525975,0.7950607477151244,0.6967577022381963,0.8952055469574648,2.6435414287262606,0.8067787372760681,6.255114629696133
4,1.92278946135547,0.5960805180186542,4.449304499398261,0.996868002262737,0.8191027652011352,0.7201445028649168,0.9224834216987713,2.35043283187444,0.7379178499919312,5.504245087788134
5,1.7593398277630241,0.5743829008573498,4.0524402955777115,0.9968066660512452,0.8417711957101385,0.7435407044593831,0.9458653900008395,2.092209298972183,0.6855446838104017,4.768560096537403
6,1.6135256675548237,0.5442687961559598,3.5850045291971404,0.9966339240244683,0.863710968829114,0.7667138068324394,0.9653244223466069,1.8708399115758763,0.6400664540805132,4.150507797594324
7,1.4841450516505639,0.537560626697557,3.150152408074337,0.9962445985541014,0.8840224680673416,0.7852932275542782,0.9841907231654508,1.6815618136364883,0.6043274048689499,3.6495019373049837
8,1.3708989129913431,0.5163840660758696,2.8180199557925016,0.9954773193803533,0.902533457483974,0.8044557045046051,0.9999892243687354,1.5217309176260074,0.5742216924289812,3.1688672340425192
9,1.2793035958014283,0.5087669717550305,2.526064082606075,0.9940663529931596,0.9188913030671069,0.8215489914838476,0.9999999999997922,1.3948657074093198,0.5513457222490875,2.788955571320078
10,1.185290337491917,0.4850625359388223,2.3466906416674944,0.9973812517830472,0.9335415059022364,0.8356069990237791,0.9999999999999999,1.2709393761319134,0.5185810307639653,2.480423634725331
11,1.1142000385584252,0.4712307389479996,2.144132031418763,0.9960777343578285,0.945840482015786,0.8503665138859404,1.0,1.1792348494311304,0.4991711917152219,2.252005178765992
12,1.0739767671692397,0.4666755869090094,2.031341145582898,0.9939261613404285,0.9558882893213795,0.8609606025337366,1.0,1.1249273437995166,0.4852814032431954,2.153916634603161
13,1.052992666591127,0.4626206205430446,2.0052565437656535,0.990445658950121,0.9642640402955952,0.8760550247045291,1.0,1.0938108510460904,0.47855040818203015,2.084027446408791
14,1.0511458025329103,0.4774195202733587,1.9761188581931823,0.9850916182545454,0.9706203357442773,0.8861518495140972,1.0,1.0845425952355758,0.4872112753321276,2.037918675721634
15,1.072817826399679,0.483061704991611,2.0328532096558725,0.9769963309772443,0.9753862190797278,0.8931299656995282,1.0,1.1012456116572902,0.4983728997870858,2.0857549786901677
16,1.1121678965068709,0.5043026494849775,2.122754391548482,0.9652909706232303,0.978932918902108,0.8988950237201675,1.0,1.1373417872490668,0.5179033601444465,2.204536718922151
17,1.1643685690290269,0.5379278546913612,2.188341089956546,0.9486127851172413,0.9812519091490568,0.9027756171687268,1.0,1.1875705299301245,0.5480486004610949,2.234161455650094
18,1.2434391383050192,0.5644551982184058,2.3153346236649814,0.9254119584775101,0.9828343506692888,0.905988288790969,1.0,1.2660039620786925,0.5775693774624749,2.363605355071777
19,1.3497652895419725,0.5977289320588057,2.521556916277714,0.893875317798594,0.9844806603856966,0.9100497397613291,1.0,1.3718307762139221,0.6059781857937336,2.567477807398531
20,1.4313347647456485,0.6491935394092452,2.71240677799958,0.9766984924770852,0.9847848879347845,0.9125940716427478,1.0,1.4543965314865757,0.6536343517142691,2.7630795272868856
21,1.538710940184504,0.6785567111594354,2.9280408369701783,0.9687396726515215,0.985014392696404,0.9127873087325562,1.0,1.563313765521757,0.6920063376440586,2.9893072561304823
22,1.6775248218321255,0.7325177019938636,3.157178567219744,0.9592645452189683,0.9847100000574126,0.9135666122566589,1.0,1.7051188460925901,0.7466629262357846,3.204673747485348
23,1.7840128502860142,0.7724729629302567,3.4126061057798247,0.9915541552737906,0.9843725025799512,0.910780351624209,1.0,1.813776222209413,0.7895498535504504,3.4743566687824674
24,1.9094336111283046,0.8227290297806397,3.6887024905904777,0.9896349405027054,0.9838935805930248,0.9106780402544663,1.0,1.9421577567542072,0.8315427948069062,3.7528637950757147
25,1.988917504588663,0.8370489151030043,3.8536427613448585,0.9978541431495666,0.9825134210362672,0.906761289540375,1.0,2.0256982173636646,0.8537116298331751,3.898245198106561
26,2.085526182558948,0.868654925455373,4.045034958900145,0.997436599218672,0.9807325312364169,0.9041693600809708,1.0,2.1279596020360327,0.897002203398783,4.1375550748780565
27,2.133440581428378,0.910420416362402,4.137132630415142,0.9994651623417878,0.9789450767347346,0.9016975927877774,1.0,2.1809702647900933,0.9403166142234562,4.221474608733493
28,2.197844818616576,0.9651712243565854,4.098125439526426,0.9993405776440544,0.9767004839129955,0.8959234541255472,1.0,2.252462795233185,0.9878887576976784,4.192030161381
29,2.2100140131656745,0.9792004438316974,4.096104549456121,0.9998577447713964,0.9743438138352496,0.8933511799362779,1.0,2.2707025671855567,1.0034378821538503,4.225883589075087
30,2.188286584109512,0.9988111830267132,4.013169185083128,0.9999674082906986,0.9716594355797052,0.889812656427261,1.0,2.255195497999358,1.0229668153838904,4.170584268156777
31,2.192284530410014,1.0351095600842326,4.024043807441735,0.9999536289597011,0.9682866493739082,0.8832157171764227,1.0,2.267608179767742,1.075342221002274,4.183021515313838
32,2.175366371531075,1.037223580433496,3.907685166186058,0.9999890119400073,0.9654628946376342,0.8778477944441865,1.0,2.2566927474033665,1.079760149639844,4.071806804714769
33,2.1273643355279814,1.0296422785945585,3.721075662611166,0.9999973206366264,0.9627284525393812,0.8731657307905024,1.0,2.212944275572598,1.0678635204608316,3.8771770081560084
34,2.1370560729100574,1.0538156482814078,3.704300863463873,0.9999955239817714,0.9602655207129785,0.8689251600532076,1.0,2.2289705340590946,1.1018283342738258,3.854122192890137
35,2.1338645843438138,1.0706854741602034,3.7274977753479823,0.9999989250035847,0.9573702212895795,0.8666892027327552,1.0,2.2317493441914613,1.1068883287146658,3.898157253004001
36,2.1950220423536897,1.112119246905715,3.805553054466862,0.9999979725102391,0.9550294144716559,0.8627982650134004,1.0,2.300916889961377,1.165320699180786,3.945841638516672
37,2.331744547936373,1.2148694957440753,3.9171725212023563,0.9999957779094151,0.9527270084107122,0.8593397142346961,1.0,2.451085515675346,1.2915307538124579,4.142800213650197
38,2.331431797651451,1.2410997731133162,3.929287565193643,0.9999999859158649,0.9505518230433616,0.8580391600912612,1.0,2.456284058768396,1.3155516269580847,4.141471713633323
39,2.280502925685505,1.206380600090827,3.831719209230175,0.9999999995306033,0.9486728041456358,0.856233643100392,1.0,2.407356053330037,1.2655717052230244,4.03768874526615
40,2.256263024909112,1.2058952940601322,3.7666658925787013,0.9999999998678991,0.9473053199928022,0.8547331098138988,1.0,2.385160735258203,1.272218447213832,3.959617956923301
41,2.242352918855984,1.2123898973760339,3.6971115875971723,0.9999999999617871,0.9460944169743769,0.8523814972412302,1.0,2.3728230156363526,1.2738027621526218,3.9376865427940806
42,2.2639607890846944,1.2233084732992003,3.7914678954627523,0.9999999999883137,0.9457356921350435,0.8540060310361375,1.0,2.3970176947394974,1.3002236483909158,4.06092450451829
43,2.3062904916648814,1.2927436717739118,3.781174890631697,0.9999999999960358,0.9458181416101334,0.8533449889655343,1.0,2.4419395400174024,1.350410378801502,4.03137851780897
44,2.230811721426846,1.2683593433391889,3.5374280150656396,0.999999999999967,0.9463069473090504,0.8553277660368821,1.0,2.361360742202439,1.3422329866782274,3.7840170752839386
45,2.2830615753552252,1.3104436438277194,3.613669673315322,0.9999999999999017,0.9473064180924968,0.8554603962856849,1.0,2.413702036480335,1.3935803076639341,3.8127177947996223
46,2.403891171065649,1.4019574288454713,3.813010706507105,0.9999999999999463,0.9487960359109577,0.8548370667281978,1.0,2.538740904873086,1.46546666004613,4.072438007498271
47,2.6308991041784995,1.5748123342749765,4.050292273538492,0.9999999999999589,0.9510205459069037,0.860531251914837,1.0,2.7716664486613487,1.6584265768334938,4.273122689114809
48,2.729418100697536,1.659822927873126,4.153840406245496,0.9999999999999997,0.9531766496553846,0.8616062046500742,1.0,2.8685792777158667,1.7223605069099555,4.402756936023886
49,2.8136592949127204,1.7058916914606053,4.281714748076645,1.0,0.9556044672351157,0.8656709887987467,1.0,2.9498238944626953,1.784019360682053,4.5298297714093065
50,2.899940512223475,1.8113642638876837,4.314565056763854,1.0,0.9583368838350244,0.8706080763848116,1.0,3.0309848503058783,1.8836274569385145,4.543557921000086
51,3.1210864157085827,1.9922111998692296,4.5789210803456255,1.0,0.961466875167226,0.8741630086848097,1.0,3.250582921014734,2.0670420266887826,4.820957017828443
52,3.3236414143441517,2.150992871249318,4.927225592306252,1.0,0.9650149669725506,0.8790273562613204,1.0,3.448897321484807,2.2000282062447423,5.109488951744971
53,3.5644848794981745,2.319019286505659,5.176540203930927,1.0,0.9678000977748088,0.8818708956058957,1.0,3.687716073818593,2.384693817626528,5.3973271961192895
54,3.417155483892255,2.2213113452855002,5.017119950671082,1.0,0.9704837459682226,0.8855192594597381,1.0,3.524453324897378,2.27478100689922,5.19685805423958
55,3.2676237814101423,2.1375919798686396,4.807958759736751,1.0,0.9736516731499384,0.8902616435673791,1.0,3.3589312586845654,2.1995779772214425,4.9234845026465015
56,2.829347347510662,1.85211485608933,4.128992905598944,1.0,0.9765312387332292,0.8995028157442028,1.0,2.900143158992363,1.8981103408961228,4.218588323513286
