day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
0,2017-06-26,2.0,2.0,2.0,2.0,3.733486867935106,1.003762364509023,9.659938964314621,1.0
1,2017-06-27,2.0,2.0,2.0,2.0,3.7982037160074174,1.0847364807868876,9.495531086996316,0.9403348511663023
2,2017-06-28,2.0,2.0005625,2.0,2.0,3.6217023559555632,1.0552337974270722,8.846185619192509,0.9937966257650601
3,2017-06-29,0.0,0.0025,0.0,0.0,3.2271082579354844,0.9905492324114826,7.708160516116424,0.9991267849574198
4,2017-06-30,0.0,0.0136875,0.0,0.0,2.8860134275159903,0.9217867491961245,6.634387924094764,0.9991231787021354
5,2017-07-01,0.0,0.0350625,0.0,1.0,2.5705851658753645,0.8666781851548218,5.695855808252366,0.999103139788663
6,2017-07-02,0.0,0.071,0.0,1.0,2.304679766543667,0.828086998223958,4.969510477624981,0.9990508671143176
7,2017-07-03,0.0,0.1205,0.0,1.0,2.079451963049936,0.7770592985248829,4.2808193085852775,0.9989360049858043
8,2017-07-04,0.0,0.1905,0.0,1.0,1.8995030287891035,0.750060366810061,3.804701100797554,0.9987367336411946
9,2017-07-05,1.0,1.25725,1.0,3.0,1.7634882309725892,0.72359001392381,3.4259323596682463,0.9983877095784267
10,2017-07-06,0.0,0.3131875,0.0,2.0,1.6123435478233166,0.6879311143902257,3.0858346357347552,0.9993450479634779
11,2017-07-07,0.0,0.352,0.0,2.0,1.4939580528754106,0.6546088331568614,2.799386300774265,0.9991189007321591
12,2017-07-08,0.0,0.3754375,0.0,2.0,1.4113874185690065,0.6333839818553305,2.6157818046293486,0.9988155988800866
13,2017-07-09,0.0,0.358875,0.0,2.0,1.361630299414781,0.614016575845767,2.5255188801623047,0.9984872063186079
14,2017-07-10,0.0,0.3479375,0.0,2.0,1.3342693349707382,0.6017502062480112,2.4723446142620378,0.9980584130510175
15,2017-07-11,0.0,0.3535625,0.0,2.0,1.3229951640670894,0.5923685855968495,2.4318201129577695,0.9976717159455994
16,2017-07-12,0.0,0.3029375,0.0,2.0,1.3281458815357143,0.6071209026582861,2.4269293278213855,0.9972266756553033
17,2017-07-13,0.0,0.281125,0.0,2.0,1.351579557583954,0.6201497239264272,2.482007426448856,0.9966928853372872
18,2017-07-14,0.0,0.2926875,0.0,2.0,1.3940502917799515,0.6477307404009253,2.5755856371750396,0.9959884121284647
19,2017-07-15,1.0,1.2765,1.0,3.0,1.4521908565495727,0.6715045047821235,2.7041105275537483,0.9953043398882696
20,2017-07-16,0.0,0.2480625,0.0,2.0,1.4872685836213142,0.6823941184035679,2.7820813139071396,0.9991401154458158
21,2017-07-17,0.0,0.2616875,0.0,2.0,1.5382390388406617,0.7077782466231892,2.902817260340491,0.9989504479615994
22,2017-07-18,1.0,1.2513125,1.0,3.0,1.6176460742301746,0.7280287580769144,3.0422205459378593,0.9987453544486525
23,2017-07-19,0.0,0.252875,0.0,2.0,1.668100858106519,0.7567410909165122,3.1534224455649817,0.999783296887274
24,2017-07-20,1.0,1.2475625,1.0,3.0,1.7416009191692934,0.7933968738409599,3.2891565266052205,0.9997337284267614
25,2017-07-21,0.0,0.26175,0.0,2.0,1.7806271304956875,0.8145639724067157,3.3305118013814767,0.9999533468976911
26,2017-07-22,1.0,1.299,1.0,3.0,1.8464300241881166,0.8407694869811234,3.4499899121959947,0.9999437393856767
27,2017-07-23,0.0,0.3135,0.0,2.0,1.8766147388436016,0.8674122114840263,3.5188917265812094,0.9999903054825692
28,2017-07-24,1.0,1.3661875,1.0,3.0,1.9417181112409199,0.907695337112932,3.639032659786294,0.9999884202610625
29,2017-07-25,1.0,1.38,1.0,3.0,1.9762274413385443,0.9293123179003498,3.69680628999594,0.9999981081732899
30,2017-07-26,0.0,0.4210625,0.0,2.0,1.9781703381592488,0.9387472619358748,3.6704205281476194,0.999999663412196
31,2017-07-27,1.0,1.437125,1.0,3.0,2.015536595443794,0.9624524928944942,3.697808517012197,0.9999995884568563
32,2017-07-28,1.0,1.4289375,1.0,3.0,2.03065349952428,0.9741870200290275,3.7172344605111456,0.9999999252836844
33,2017-07-29,0.0,0.4960625,0.0,2.0,2.024762791027965,0.9903537438815652,3.6372373855573317,0.9999999866233161
34,2017-07-30,1.0,1.5144375,1.0,3.0,2.069283135877171,1.0204914281854651,3.69584601100661,0.9999999838121085
35,2017-07-31,0.0,0.58675,0.0,2.0,2.1033476754701916,1.0433776492193048,3.7075400829944756,0.9999999971523452
36,2017-08-01,0.0,0.639875,0.0,3.0,2.2091846202973753,1.1079431013866174,3.875289839274203,0.9999999955201293
37,2017-08-02,3.0,3.7389375,3.0,6.0,2.3876889784099857,1.2323600976632567,4.1281615040295225,0.9999999923651485
38,2017-08-03,2.0,2.8405,2.0,5.0,2.425396999871237,1.2553844361797981,4.18678059329101,0.9999999999965492
39,2017-08-04,1.0,1.896375,1.0,4.0,2.3993712705196764,1.2623821702587812,4.099293215227939,0.9999999999999466
40,2017-08-05,1.0,1.9701875,1.0,4.0,2.383082199860015,1.278744193543137,4.003813305424438,0.9999999999999898
41,2017-08-06,1.0,2.0336875,1.0,4.0,2.384949838122702,1.29117955151713,4.000406466827646,0.9999999999999987
42,2017-08-07,1.0,2.12125,1.0,5.0,2.404123773696908,1.3096278178034668,3.992697638457617,0.9999999999999998
43,2017-08-08,3.0,4.2168125,3.0,7.0,2.4519144245177005,1.3540191452989006,4.048758961844102,1.0
44,2017-08-09,0.0,1.326,0.0,4.0,2.37350441613521,1.3079119099248597,3.894318781052448,1.0
45,2017-08-10,1.0,2.38,1.0,5.0,2.4092617401649186,1.3470808055697896,3.899490809537061,1.0
46,2017-08-11,1.0,2.5375625,1.0,5.0,2.499331160505341,1.4161405534689433,4.034278740152517,1.0
47,2017-08-12,4.0,5.7679375,4.0,9.0,2.693389349859627,1.5527926496530207,4.2983199325681,1.0
48,2017-08-13,3.0,4.80725,3.0,8.0,2.7460492193155424,1.606470225895315,4.373671538385735,1.0
49,2017-08-14,3.0,4.94225,3.0,8.0,2.7841701528622864,1.647891157845502,4.388590777755167,1.0
50,2017-08-15,2.0,4.0395,2.0,7.0,2.814590441271753,1.6760284739161042,4.363036428757988,1.0
51,2017-08-16,4.0,6.2299375,4.0,10.0,2.98758202939244,1.8054567675744189,4.6143405855844435,1.0
52,2017-08-17,4.0,6.599,4.0,10.0,3.1621730344544887,1.932699235821008,4.839163386364594,1.0
53,2017-08-18,8.0,11.0285,8.0,15.0,3.381725855833322,2.084204089462327,5.165879287543733,1.0
54,2017-08-19,5.0,8.13275,5.0,12.0,3.2468198549065836,2.0287507308911774,4.939838995528315,1.0
55,2017-08-20,8.0,11.3049375,8.0,16.0,3.1290282377013536,1.9670048131080604,4.716072618095567,1.0
56,2017-08-21,5.0,8.365625,5.0,13.0,2.7453137430482557,1.7143891783918488,4.116456081338521,1.0
57,2017-08-22,4.0,7.3063125,4.0,12.0,2.407143969234137,1.5117367397899926,3.5962184583945143,1.0
58,2017-08-23,5.0,8.3953125,5.0,13.0,2.1660283183354405,1.3533565918212924,3.2311609939154593,1.0
59,2017-08-24,7.0,10.4206875,7.0,15.0,1.9343500870896582,1.2184160223808103,2.8648127533300087,1.0
60,2017-08-25,2.0,5.098875,2.0,9.0,1.5942367640189465,1.0142926798599086,2.3613587282730575,1.0
61,2017-08-26,1.0,4.290625,1.0,9.0,1.4330383773098851,0.9196189898873908,2.124679282447254,1.0
62,2017-08-27,8.0,11.4986875,8.0,16.0,1.4344874519628,0.9164114479685758,2.1187828182837873,1.0
63,2017-08-28,2.0,5.4576875,2.0,10.0,1.2919711761402854,0.8372153102335441,1.905246341279124,1.0
64,2017-08-29,4.0,7.618375,4.0,12.0,1.276266567105104,0.8266928226939567,1.8482990443762832,1.0
65,2017-08-30,2.0,5.9238125,2.0,11.0,1.3104528733438137,0.8593827674182177,1.8881154883912337,1.0
66,2017-08-31,9.0,13.4746875,10.0,18.0,1.5080284215880535,0.9946130868358181,2.152402211322432,1.0
67,2017-09-01,8.0,12.91975,9.0,18.0,1.6091020140212877,1.0652312832022601,2.304640496773926,1.0
68,2017-09-02,8.0,13.186125,9.0,19.0,1.6805689441204488,1.1291838239047574,2.3906512431571967,1.0
69,2017-09-03,7.0,12.3326875,8.0,18.0,1.745207713090837,1.1731215597987432,2.4725043035594387,1.0
70,2017-09-04,9.0,14.7689375,10.0,21.0,1.8838796343793114,1.2724464210550848,2.645905474798987,1.0
71,2017-09-05,12.0,18.2303125,14.0,24.0,2.021233898188348,1.3741919799852755,2.849567150812617,1.0
72,2017-09-06,12.0,18.2556875,14.0,24.0,1.9937845790814295,1.358556965525196,2.813142837958133,1.0
73,2017-09-07,7.0,12.79775,8.0,18.0,1.8042726479196898,1.2227603668359677,2.5357968723356024,1.0
74,2017-09-08,12.0,17.907,14.0,24.0,1.7360438073777271,1.1700560698841662,2.4340790690105547,1.0
75,2017-09-09,2.0,7.26625,3.0,13.0,1.4868219011254464,1.0144760231185994,2.094443521173093,1.0
76,2017-09-10,15.0,20.92025,16.0,27.0,1.562255847262979,1.0629952215430107,2.2082696774858412,1.0
77,2017-09-11,11.0,16.47275,12.0,22.0,1.33471520378279,0.9050780077647789,1.8875230554324438,1.0
78,2017-09-12,5.0,9.3785625,6.0,14.0,1.0325396327553347,0.6944488825376361,1.4630905318783083,1.0
79,2017-09-13,4.0,7.86125,4.0,12.0,0.8536466269914602,0.5660174313716011,1.2227700797424503,1.0
80,2017-09-14,2.0,5.574375,2.0,10.0,0.7569287714048224,0.5019510929542287,1.0862434403516537,1.0
81,2017-09-15,4.0,7.84025,4.0,13.0,0.7628079755700947,0.5083343731000456,1.090253515103533,1.0
82,2017-09-16,7.0,11.322125,8.0,16.0,0.8240944806299468,0.5522272029167434,1.1764537674248217,1.0
83,2017-09-17,13.0,17.697625,14.0,23.0,0.8821166275438965,0.5930892591227582,1.2497899059172397,1.0
84,2017-09-18,6.0,10.2205,7.0,15.0,0.7823772610229901,0.5179613673307549,1.1200087303166952,1.0
85,2017-09-19,8.0,11.895875,8.0,16.0,0.708042216851838,0.46854282792458085,1.0223390775144285,1.0
86,2017-09-20,4.0,7.2194375,4.0,11.0,0.5990472047022426,0.3882253182321254,0.8712699868107084,1.0
87,2017-09-21,5.0,7.7139375,5.0,12.0,0.5226418184435954,0.33222410198559515,0.7760433262730333,0.9999999999999998
88,2017-09-22,3.0,5.25525,3.0,9.0,0.44409412580622887,0.2785811329518921,0.6663469779934827,0.9999999999999868
89,2017-09-23,2.0,3.869,2.0,7.0,0.38251642386444545,0.23546559398875952,0.5779734177790528,0.9999999999996144
90,2017-09-24,2.0,3.547625,2.0,7.0,0.339390007448608,0.2076420222646947,0.5191308467157397,0.9999999999934273
91,2017-09-25,0.0,1.3799375,0.0,4.0,0.30648981252001645,0.18252378403352998,0.4713871132104172,0.9999999999213699
92,2017-09-26,1.0,2.3124375,1.0,5.0,0.29843562707121607,0.17567919578455723,0.46691063783338127,0.9999999990832801
93,2017-09-27,2.0,3.29375,2.0,6.0,0.30045930932114023,0.1765678069783954,0.4732375448052777,0.9999999937020075
94,2017-09-28,3.0,4.25,3.0,7.0,0.3034312044102344,0.17574922045028946,0.48398460885601935,0.9999999676977624
95,2017-09-29,1.0,2.164375,1.0,5.0,0.2953951388183389,0.1681825333092308,0.46909464843554094,0.9999998746467921
96,2017-09-30,3.0,4.123,3.0,7.0,0.29584956537243823,0.16712846482553143,0.47478191463656133,0.9999993954399411
97,2017-10-01,2.0,2.94425,2.0,5.0,0.28288321644490655,0.15689900096325513,0.4619150420826639,0.9999980793689235
98,2017-10-02,0.0,0.8476875,0.0,3.0,0.26608259332773215,0.14578301883003575,0.4352723594038178,0.9999941111159353
99,2017-10-03,0.0,0.7298125,0.0,3.0,0.26208404590276324,0.1410487310784821,0.43291513918769764,0.9999789781288596
100,2017-10-04,1.0,1.6805,1.0,4.0,0.26759707567634716,0.14120678395484954,0.4513813826082395,0.9999332618016806
101,2017-10-05,2.0,2.6004375,2.0,4.0,0.2727862247101415,0.14142268613365921,0.4648361866405383,0.9998441632169434
102,2017-10-06,1.0,1.5306875,1.0,3.0,0.2690864638409073,0.13825855056452582,0.46497862245210825,0.9997249957067388
103,2017-10-07,0.0,0.4795625,0.0,2.0,0.26352469254893085,0.13241397141636807,0.4592499909240005,0.9994735600010716
104,2017-10-08,1.0,1.4048125,1.0,3.0,0.2646899041355056,0.12948456925953836,0.466227799138487,0.9988909279326624
105,2017-10-09,0.0,0.3763125,0.0,2.0,0.26205841465376395,0.12612644034466436,0.4681617575036501,0.998234689964645
106,2017-10-10,1.0,1.336375,1.0,3.0,0.2652580558999474,0.1255312235977294,0.47787202423200464,0.9967507252556921
107,2017-10-11,0.0,0.308,0.0,2.0,0.2646157306483213,0.12367836184445151,0.48229364884100173,0.995432202455328
108,2017-10-12,0.0,0.3160625,0.0,2.0,0.26913239753578355,0.12357798750870917,0.49883226729171115,0.9924021620019593
109,2017-10-13,0.0,0.266375,0.0,2.0,0.27678630136098037,0.1239151711862685,0.5197386742485455,0.987877656296069
