day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
0,2017-06-26,2.0,2.0,2.0,2.0,2.7856204448766975,0.7508812943218631,7.303104044294566,0.7158913839020172,0.6184421728938041,0.812949975430953,3.8964280052184184,1.0503280167057316,10.158732034837536,1.0
1,2017-06-27,2.0,2.00015625,2.0,2.0,2.960535917793282,0.8274444356411266,7.587878758615772,0.7444913245175968,0.6483499847312892,0.8421071118847383,3.982611197539558,1.1151004788164203,10.067037089824131,0.936991284782931
2,2017-06-28,2.0,2.0000625,2.0,2.0,2.9271399864720964,0.8559536740144728,7.328235388523493,0.7712880159512342,0.6740088996976014,0.8689255050430187,3.8011276565043746,1.1068597813446734,9.524605569930726,0.993323375757316
3,2017-06-29,0.0,0.002875,0.0,0.0,2.6977824213762682,0.8292837138834912,6.558964902023256,0.7972671687589358,0.7005688732017672,0.8946532645551787,3.3894825398278896,1.0396127101775292,8.254169201014225,0.9990419345591072
4,2017-06-30,0.0,0.00909375,0.0,0.0,2.4786460904858685,0.7973618885544174,5.808268133662381,0.8211029832232564,0.7237582549556884,0.9189111547246593,3.0235969741988065,0.9770990685671407,7.058210098874101,0.9990378643581594
5,2017-07-01,0.0,0.0296875,0.0,1.0,2.2755173858571403,0.7677746443818864,5.131292082506739,0.8437497381788402,0.7456827782632673,0.9413054457525823,2.701050301523617,0.9108310362092251,6.086441917251029,0.9990190634693635
6,2017-07-02,0.0,0.0603125,0.0,1.0,2.094500236544378,0.7410316983913419,4.536812546944234,0.8657848693150657,0.7679162970326237,0.9639601244496131,2.4230562094695403,0.8571616177093855,5.285144475111258,0.9989700660777993
7,2017-07-03,0.0,0.1203125,0.0,1.0,1.9339649731837183,0.7241773575369694,4.019712878007096,0.8862223049458045,0.7888022355958997,0.9850778855636042,2.1857837690121014,0.8179837859379675,4.512262187336974,0.9988579238430294
8,2017-07-04,0.0,0.1855625,0.0,1.0,1.8007500952508944,0.7059858958413905,3.641522429097731,0.9045496273663329,0.8078091826070604,0.9999766713127549,1.9938900125572754,0.7759013361548706,4.038744214134764,0.9986542804107346
9,2017-07-05,1.0,1.2498125,1.0,2.0,1.6971830660784366,0.686364547889951,3.3382481626143314,0.9208645118584002,0.8244989879475385,0.9999999999987185,1.845872924757636,0.7434057382166729,3.621504421779564,0.9983095751397429
10,2017-07-06,0.0,0.2810625,0.0,2.0,1.569825245140034,0.6563878782896505,3.025469635834564,0.9353764283211775,0.8401642840430593,1.0,1.680555014061581,0.7022723581115309,3.2261030418342065,0.9993470719505868
11,2017-07-07,0.0,0.34678125,0.0,2.0,1.474010048624073,0.6388960498408515,2.7727867379065225,0.94747255660586,0.8540373602245097,1.0,1.557832822994518,0.6769178309473322,2.9265260518006,0.9991174867902987
12,2017-07-08,0.0,0.348125,0.0,2.0,1.4069409842773448,0.6249224813854627,2.6305279824290126,0.9572838547742373,0.8659394616673883,1.0,1.4715417213875872,0.651707426083793,2.749964944656229,0.9988179568609755
13,2017-07-09,0.0,0.347375,0.0,2.0,1.3637209359209868,0.6166429124713608,2.5307590340027293,0.9652957323598851,0.8772422041720789,1.0,1.4143230984482347,0.6374692557725908,2.6361600748275045,0.9984683733735129
14,2017-07-10,0.0,0.35884375,0.0,2.0,1.3401590123440228,0.6147858282514272,2.4640397980706394,0.9714553684754651,0.8870437394380705,1.0,1.3808378211539893,0.6344068027063375,2.5493069646870636,0.9980257650344524
