onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
0,2017-06-26,2,2.0,2.0,2.0,2.8077200762894807,0.7297003932988054,7.319175832999127,0.7157116783094922,0.6188501126507017,0.8121056987846834,3.930005636791095,1.0299409332424185,10.280881086356645,1.0
1,2017-06-27,2,2.0,2.0,2.0,2.9809266257523177,0.7979817961965925,7.548874223977175,0.7442055517643602,0.6460063169239707,0.8406237871883807,4.012427316642924,1.0875803387357867,10.114056030016862,0.9368337236054942
2,2017-06-28,2,2.000375,2.0,2.0,2.9530158895910055,0.8381440873729069,7.3821421224881005,0.7712867341054609,0.6733672227169126,0.8689634052317327,3.8363537111722836,1.0828398291791572,9.529192304147038,0.9932526882388863
3,2017-06-29,0,0.002125,0.0,0.0,2.719287877182899,0.7971084723508414,6.66338181769974,0.7970963936294376,0.7001678698683199,0.8945667618693652,3.417586927240672,1.0067890979849534,8.320787574776034,0.9990287552724672
4,2017-06-30,0,0.009625,0.0,0.0,2.499552522657501,0.7738992222992197,6.011351801781254,0.8210764080331172,0.723381269375135,0.91842934757237,3.049974950144494,0.9381302219439362,7.32999981615172,0.9990277364787244
5,2017-07-01,0,0.039625,0.0,1.0,2.295042961666886,0.7491072254027935,5.2064084746801225,0.8438827489224403,0.7466778467295934,0.9421441522242517,2.7242620368548915,0.8910723185990236,6.1090205299173945,0.9990086249651192
6,2017-07-02,0,0.069625,0.0,1.0,2.1055847965315952,0.7294775915178909,4.672754972325158,0.8658150115052952,0.7684948006365013,0.9641922851322622,2.4354113832327644,0.8485753562738704,5.3595557923106565,0.9989690115194717
7,2017-07-03,0,0.1065,0.0,1.0,1.943023153481446,0.7083896070060759,4.147676634458971,0.8862113585620335,0.7888730334027153,0.9851299165255523,2.1950935502870372,0.7983621435451874,4.646468323290713,0.9988684901767799
8,2017-07-04,0,0.199125,0.0,1.0,1.8113397194769778,0.6921642555872072,3.6965538678610086,0.9046538647553136,0.8079259931525359,0.999976530813153,2.0046718319819834,0.7650319824867209,4.064230241311417,0.9986644468691047
9,2017-07-05,1,1.258,1.0,3.0,1.7033815695639092,0.6852188961686987,3.333882930795893,0.9209137940605476,0.8241859750508967,0.9999999999948381,1.8518281096722318,0.7457715126365526,3.640172568892428,0.9983549125498107
10,2017-07-06,0,0.294875,0.0,2.0,1.5709670147294308,0.6440804844527457,3.008116072468701,0.9354871850973115,0.8400882301012595,0.9999999999999999,1.68141323244032,0.6896899983024184,3.2409862605816833,0.9993651170459661
