start_day_of_year,day_of_outbreak,analytical,simulation
167,1,0.16064866482415277,0.155
167,2,0.16065035036647507,0.17
167,3,0.16069609104371516,0.154
167,4,0.16106543080720825,0.177
167,5,0.16258298186383036,0.177
167,6,0.1667205316321049,0.164
167,7,0.1753918982420513,0.18
167,8,0.19067168902754053,0.184
167,9,0.21447529759639722,0.209
167,10,0.24852706915877126,0.277
167,11,0.29403779224183507,0.279
167,12,0.3512744493293201,0.348
167,13,0.41884636962303134,0.405
167,14,0.49375809876963356,0.484
167,15,0.572001140553863,0.562
167,16,0.6491144873953707,0.652
167,17,0.7210449162482936,0.715
167,18,0.7844873847353465,0.781
167,19,0.8377854670396512,0.81
167,20,0.8807806987723408,0.881
167,21,0.9142626134300923,0.927
167,22,0.9395551733630206,0.938
167,23,0.958168631764541,0.961
167,24,0.971473690325244,0.967
167,25,0.9807992164595316,0.982
167,26,0.9872277090881193,0.986
167,27,0.9915952048337432,0.992
167,28,0.9945246088947345,0.993
167,29,0.9964670487327673,0.995
167,30,0.9977418044543165,0.999
167,31,0.9985682393446922,0.999
167,32,0.9990982826032214,1.0
167,33,0.9994356307140151,1.0
167,34,0.9996488192987096,1.0
167,35,0.9997826607778733,1.0
167,36,0.9998661740455144,1.0
167,37,0.9999179865084366,1.0
167,38,0.9999499596862321,1.0
167,39,0.9999695912278334,1.0
167,40,0.9999815882032637,1.0
167,41,1.0,1.0
256,1,0.646431698509891,0.628
256,2,0.646437597263336,0.65
256,3,0.6465809466544904,0.648
256,4,0.6476145274526761,0.643
256,5,0.6514043309448264,0.64
256,6,0.6605702465542814,0.668
256,7,0.6773310715576967,0.677
256,8,0.7024986540951708,0.731
256,9,0.73543213765656,0.72
256,10,0.7737143844316321,0.779
256,11,0.813916394350883,0.81
256,12,0.853320967486372,0.869
256,13,0.888999782496654,0.885
256,14,0.918959599543132,0.911
256,15,0.9431289364828449,0.945
256,16,0.9614849253340798,0.965
256,17,0.9745936623754866,0.975
256,18,0.9838233107781407,0.981
256,19,0.9900015617279175,0.991
256,20,0.9939262126897311,0.996
256,21,0.996432917275941,1.0
256,22,0.9979573124582416,0.999
256,23,0.9988441719409263,0.999
256,24,0.9993682519133501,1.0
256,25,0.9996617523596405,1.0
256,26,0.9998207353260871,1.0
256,27,0.9999085183561116,1.0
256,28,0.9999539385413074,0.999
256,29,0.999977128089347,1.0
256,30,0.9999891267459888,1.0
256,31,0.9999948310133578,1.0
256,32,0.9999976055245309,1.0
256,33,0.9999989470839311,1.0
256,34,0.9999995233213631,1.0
256,35,0.9999997942811069,1.0
256,36,0.9999999163942183,1.0
256,37,0.9999999627469679,1.0
256,38,0.9999999843391646,1.0
256,39,0.9999999933598682,1.0
256,40,0.9999999964781158,1.0
256,41,1.0,1.0
