start_day_of_year,day_of_outbreak,analytical,simulation
166,1,0.8363469300206812,0.8316
166,2,0.8363452351571731,0.8292
166,3,0.8362992726943781,0.8304
166,4,0.8359284949110023,0.8408
166,5,0.8344039055367476,0.8332
166,6,0.8302501205692274,0.8296
166,7,0.8215553280900428,0.8271
166,8,0.8062897878819265,0.8057
166,9,0.7825002212988287,0.7792
166,10,0.7484756630948042,0.748
166,11,0.7030778056307878,0.7092
166,12,0.6461927332929867,0.6464
166,13,0.5791144405596946,0.5776
166,14,0.5046329265753274,0.5097
166,15,0.4268036381356908,0.4208
166,16,0.3501600126123695,0.3534
166,17,0.2787885575926057,0.2741
166,18,0.21570734139351133,0.2154
166,19,0.16252581844320646,0.1637
166,20,0.11953379466677394,0.1205
166,21,0.08603843745600914,0.088
166,22,0.06074761979631871,0.0622
166,23,0.042151449437713207,0.0438
166,24,0.02880832050457871,0.0266
166,25,0.019420778508016934,0.0193
166,26,0.012932165131977591,0.0119
166,27,0.008515760058530497,0.011
166,28,0.005550158657004034,0.0059
166,29,0.003584568929813292,0.003
166,30,0.0022957909294618606,0.0022
166,31,0.0014590218462176008,0.0009
166,32,0.0009205385730590709,0.0006
166,33,0.0005768219161282895,0.0003
166,34,0.0003592465988860871,0.0005
166,35,0.00022252188173044196,0.0001
166,36,0.00013711768637381105,0.0001
166,37,8.406595453125387e-05,0.0001
166,38,5.129234641898517e-05,0.0001
166,39,3.116570275762953e-05,0.0
166,40,1.8868378469538705e-05,0.0
166,41,0.0,0.0
256,1,0.3935499903461743,0.3911
256,2,0.3935441991751699,0.3862
256,3,0.39340266800578405,0.3928
256,4,0.39237616790487684,0.3872
256,5,0.3885872668284409,0.3936
256,6,0.3793648015748945,0.3722
256,7,0.36231052792457996,0.3585
256,8,0.33631429351244624,0.3385
256,9,0.3019712957172249,0.3043
256,10,0.2614040800874686,0.2622
256,11,0.21781620556665926,0.2203
256,12,0.17453886105025307,0.1745
256,13,0.13461098315634967,0.1334
256,14,0.09999445361477743,0.1014
256,15,0.0716987871140905,0.0746
256,16,0.049736128406553504,0.0469
256,17,0.03346198875183848,0.0308
256,18,0.021886283737047374,0.0234
256,19,0.013947371399209874,0.0126
256,20,0.00867963416228934,0.0074
256,21,0.005280909711217308,0.0057
256,22,0.0031448520502794786,0.0026
256,23,0.0018339059365692911,0.0018
256,24,0.0010497923158979683,0.0013
256,25,0.0005899327772331819,0.0003
256,26,0.00032499683952735836,0.0005
256,27,0.0001757410676154203,0.0003
256,28,9.34542986706921e-05,0.0
256,29,4.8789057920273216e-05,0.0
256,30,2.4976264327403186e-05,0.0
256,31,1.256159614537733e-05,0.0
256,32,6.212381576164994e-06,0.0
256,33,3.022615104208981e-06,0.0001
256,34,1.4412869455693311e-06,0.0
256,35,6.764285059857045e-07,0.0
256,36,3.1330195215950596e-07,0.0
256,37,1.4395311587200865e-07,0.0
256,38,6.637792793195985e-08,0.0
256,39,3.1615088547098935e-08,0.0
256,40,1.638318047891829e-08,0.0
256,41,0.0,0.0
