,day_of_year,cases,further_case_risk
0,166,1,1.0
1,167,0,0.7695496700166861
2,168,0,0.769548186675041
3,169,0,0.7695069517216415
4,170,0,0.7691663301941364
5,171,0,0.7677329110311074
6,172,0,0.76374753060041
7,173,0,0.7552925517598679
8,174,0,0.7403643870737251
9,175,0,0.7171986859652126
10,176,1,0.68446925214858
11,177,0,0.9445991933580861
12,178,1,0.936406225554234
13,179,1,0.9892017049253452
14,180,0,0.9982067033475295
15,181,0,0.9979539039627597
16,182,0,0.9976563690104425
17,183,1,0.9972607878798169
18,184,1,0.9995369080185884
19,185,0,0.9999168190777061
20,186,0,0.9998825020285023
21,187,0,0.9998194306372472
22,188,0,0.9996996597697306
23,189,0,0.999463977690726
24,190,0,0.9989827312406914
25,191,0,0.9979689348326424
26,192,1,0.9958011437509382
27,193,0,0.9987645577930234
28,194,2,0.9974443521721065
29,195,0,0.9998966171130528
30,196,0,0.999805269152404
31,197,1,0.9996556010254226
32,198,0,0.999916015550259
33,199,0,0.9998638104576063
34,200,0,0.999778778080427
35,201,1,0.999628250394834
36,202,1,0.9999010705952289
37,203,0,0.9999717611527421
38,204,1,0.9999431646266818
39,205,1,0.9999819210280866
40,206,1,0.9999941026649093
41,207,0,0.9999980548991912
42,208,1,0.9999957700056408
43,209,1,0.9999985827408808
44,210,0,0.9999995145375684
45,211,0,0.999998865751051
46,212,0,0.9999972052363472
47,213,1,0.9999926810889259
48,214,1,0.9999969268672213
49,215,1,0.9999986429124189
50,216,0,0.9999993804330823
51,217,1,0.9999980743349827
52,218,0,0.9999991272428856
53,219,0,0.9999973785835996
54,220,0,0.9999923428809954
55,221,2,0.9999780906821314
56,222,1,0.9999987305091446
57,223,2,0.9999994899647744
58,224,0,0.9999999713520796
59,225,2,0.9999999197182934
60,226,1,0.9999999956861215
61,227,1,0.9999999983524945
62,228,1,0.999999999361756
63,229,2,0.9999999997403929
64,230,2,0.9999999999841321
65,231,1,0.9999999999989091
66,232,2,0.9999999999993775
67,233,8,0.9999999999999425
68,234,2,1.0
69,235,1,1.0
70,236,1,1.0
71,237,0,1.0
72,238,3,1.0
73,239,0,1.0
74,240,2,1.0
75,241,4,1.0
76,242,1,1.0
77,243,2,1.0
78,244,4,1.0
79,245,2,1.0
80,246,6,1.0
81,247,5,1.0
82,248,7,1.0
83,249,5,1.0
84,250,7,1.0
85,251,7,1.0
86,252,5,1.0
87,253,2,1.0
88,254,3,1.0
89,255,7,1.0
90,256,6,1.0
91,257,7,1.0
92,258,4,1.0
93,259,6,1.0
94,260,10,1.0
95,261,9,1.0
96,262,8,1.0
97,263,7,1.0
98,264,8,1.0
99,265,6,1.0
100,266,9,1.0
101,267,6,1.0
102,268,4,1.0
103,269,3,1.0
104,270,4,1.0
105,271,3,1.0
106,272,6,0.9999999999999947
107,273,4,0.9999999999997548
108,274,5,0.999999999987027
109,275,4,0.999999999574238
110,276,4,0.9999999888528245
111,277,4,0.9999998042468929
112,278,1,0.999997665926094
113,279,3,0.9999756994191423
114,280,0,0.9998448618153873
115,281,1,0.9991329745740555
116,282,1,0.9964830481832505
117,283,2,0.9886515108463908
118,284,4,0.9708245893429317
119,285,1,0.9394071998534952
120,286,0,0.8840001964599062
121,287,0,0.8025333769921513
122,288,1,0.7011080316510149
123,289,0,0.5926819690570302
124,290,0,0.48085982585717624
125,291,0,0.3766495916716103
126,292,1,0.2853435963625254
127,293,0,0.2112432640642109
128,294,0,0.1502870109157145
129,295,0,0.10370090349323602
130,296,0,0.06954552383089618
131,297,0,0.04542456415770735
132,298,0,0.028875102484025028
133,299,0,0.01792206527331841
134,300,0,0.010862235743489657
135,301,0,0.006418263461782869
136,302,0,0.0036853978998820924
137,303,0,0.0020512326637095457
138,304,0,0.0011027353715141741
139,305,0,0.0005716482694310132
140,306,0,0.0002835045439766315
141,307,0,0.00013436978251146758
142,308,0,6.0516198955862244e-05
143,309,0,2.57183064384936e-05
144,310,0,1.0271138459305718e-05
145,311,0,3.849683178125396e-06
146,312,0,1.3255861964767135e-06
147,313,0,4.0247275301386054e-07
148,314,0,1.0723075971608154e-07
149,315,0,2.2214852624102832e-08
150,316,0,3.351984023680643e-09
151,317,0,2.989192227076387e-10
152,318,0,2.5213164889237305e-12
153,319,0,0.0
154,320,0,0.0
155,321,0,0.0
156,322,0,0.0
157,323,0,0.0
158,324,0,0.0
159,325,0,0.0
160,326,0,0.0
161,327,0,0.0
162,328,0,0.0
163,329,0,0.0
164,330,0,0.0
165,331,0,0.0
166,332,0,0.0
167,333,0,0.0
