day_of_outbreak,true,reported,cases_mean,cases_lower,cases_upper,rep_no_true,rep_no_mean,rep_no_lower,rep_no_upper,rep_no_naive_mean,additional_case_prob_true,additional_case_prob_est_r,additional_case_prob_est_r_lower,additional_case_prob_est_r_upper,additional_case_prob_known_r,additional_case_prob_known_r_lower,additional_case_prob_known_r_upper,additional_case_prob_naive
0,1,1,1.0,1.0,1.0,2.5,3.258996473444603,0.8055932822028798,8.854813495481931,2.2669605947852878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0,0,0.0,0.0,0.0,2.48,3.321492839888295,0.8428036145352936,8.792108301568602,2.2876467205040876,0.8946981508590963,0.9357186963763661,0.7694911354450912,0.9974968184510887,0.894698150859096,0.8946981508590963,0.8946981508590963,0.8457897018126918
2,0,0,0.001,0.0,0.0,2.46,3.3812699626737848,0.8843721940713394,9.01139165888471,2.3105542400192634,0.8946960511270202,0.9357174556753515,0.7694889650249821,0.9974967306321123,0.8946960511270203,0.8946960511270203,0.8946960511270203,0.8457875097426139
3,0,0,0.003375,0.0,0.0,2.44,3.4334777536058794,0.9386553678094048,8.78596067582659,2.3286150928740286,0.8946420969942303,0.9357659426904629,0.7694466797628915,0.9974946994018176,0.8946420969942306,0.8946420969942304,0.8946420969942304,0.8457303829137368
4,0,0,0.02775,0.0,1.0,2.42,3.497369676307718,0.9984071085970273,8.684850198091945,2.350037404617863,0.8942281045439953,0.9357245784414268,0.7692069966385182,0.9975893784332398,0.8947565462112791,0.8942281045439953,0.8942281045439953,0.8452886394554905
5,1,0,0.054375,0.0,1.0,2.4,3.5574528763524116,1.0379598069483478,8.457059117773559,2.3622544411285076,0.8925986163376636,0.9362762101136284,0.7677500951658509,0.9981886590873106,0.8953236449100107,0.8925986163376637,0.9877484952528413,0.8435325384885375
6,0,0,0.119125,0.0,1.0,2.38,3.6307051874130463,1.1055007600298299,8.539511259736077,2.390026848986397,0.9870016507560644,0.9365847836015765,0.7636285063394823,0.998992542711639,0.8960150732527998,0.8883078230385627,0.9872587894549308,0.838878863750199
7,1,1,1.16975,1.0,2.0,2.36,3.7119729365428027,1.1767387747848188,8.432185927424525,2.425828274643619,0.9859790735701557,0.9378010388969497,0.7569434685577957,0.9996180581378136,0.8977472638498285,0.8795233302693617,0.9862498917630992,0.8292638138495003
8,0,0,0.191625,0.0,1.0,2.34,3.6748185646307743,1.1966633534223436,8.188046069020126,2.3897441026266764,0.9980848648522214,0.9906638364020166,0.9448892197017932,0.9999909492044026,0.9874888257363622,0.983552031981928,0.9997586836748784,0.9497361721734148
9,1,1,1.172375,1.0,2.0,2.32,3.630526553679765,1.27075952565882,7.90165126561599,2.3707783477382343,0.9977377133958191,0.9906047103555097,0.9407469282068426,0.9999950374789042,0.9872512528390996,0.9806434888107171,0.9997204427635435,0.9433611071376716
