onset_day,true,reported,not_yet,never,cases_mean,cases_lower,cases_upper
0,1,1,0,0,1.0,1.0,1.0
1,0,0,0,0,0.0,0.0,0.0
2,0,0,0,0,0.0,0.0,0.0
3,0,0,0,0,0.0,0.0,0.0
4,0,0,0,0,0.0,0.0,0.0
5,1,1,0,0,1.001,1.0,1.0
6,0,0,0,0,0.006375,0.0,0.0
7,1,1,0,0,1.00675,1.0,1.0
8,0,0,0,0,0.013625,0.0,0.0
9,1,1,0,0,1.017,1.0,1.0
10,0,0,0,0,0.022125,0.0,0.0
11,0,0,0,0,0.02325,0.0,0.0
12,0,0,0,0,0.032875,0.0,1.0
13,0,0,0,0,0.040125,0.0,1.0
14,1,0,0,1,0.05025,0.0,1.0
15,1,0,0,1,0.056875,0.0,1.0
16,2,1,0,1,1.074375,1.0,2.0
17,0,0,0,0,0.0635,0.0,1.0
18,2,2,0,0,2.070125,2.0,3.0
19,0,0,0,0,0.06125,0.0,1.0
20,0,0,0,0,0.055,0.0,1.0
21,0,0,0,0,0.051125,0.0,1.0
22,1,1,0,0,1.050625,1.0,2.0
23,0,0,0,0,0.0475,0.0,1.0
24,1,1,0,0,1.052,1.0,2.0
25,1,1,0,0,1.045125,1.0,2.0
26,1,1,0,0,1.05675,1.0,2.0
27,0,0,0,0,0.065125,0.0,1.0
28,2,2,0,0,2.089375,2.0,3.0
29,2,2,0,0,2.092875,2.0,3.0
30,0,0,0,0,0.098875,0.0,1.0
31,3,1,0,2,1.097625,1.0,2.0
32,0,0,0,0,0.117875,0.0,1.0
33,2,2,0,0,2.1075,2.0,3.0
34,0,0,0,0,0.144625,0.0,1.0
35,1,1,0,0,1.136,1.0,2.0
36,1,1,0,0,1.151375,1.0,2.0
37,2,1,0,1,1.14725,1.0,2.0
38,0,0,0,0,0.1625,0.0,1.0
39,1,1,0,0,1.150125,1.0,2.0
40,1,1,0,0,1.16175,1.0,2.0
41,3,3,0,0,3.179125,3.0,4.0
42,2,2,0,0,2.178875,2.0,3.0
43,2,2,0,0,2.178,2.0,3.0
44,3,3,0,0,3.1815,3.0,4.0
45,1,1,0,0,1.22875,1.0,2.0
46,2,2,0,0,2.203375,2.0,3.0
47,4,3,0,1,3.218,3.0,4.0
48,5,5,0,0,5.252875,5.0,7.0
49,2,1,0,1,1.244,1.0,2.0
50,1,1,0,0,1.24575,1.0,3.0
51,0,0,0,0,0.258875,0.0,2.0
52,1,1,0,0,1.275875,1.0,3.0
53,1,1,0,0,1.367,1.0,3.0
54,8,8,0,0,8.426875,8.0,10.0
55,7,6,0,1,6.406875,6.0,8.0
56,3,2,0,1,2.451125,2.0,4.0
57,3,3,0,0,3.3985,3.0,5.0
58,5,4,0,1,4.398625,4.0,6.0
59,3,2,0,1,2.411125,2.0,4.0
60,2,2,0,0,2.381375,2.0,4.0
61,2,2,0,0,2.418375,2.0,4.0
62,6,5,0,1,5.4355,5.0,7.0
63,7,7,0,0,7.572,7.0,9.0
64,4,3,0,1,3.579,3.0,5.0
65,4,3,0,1,3.583875,3.0,5.0
66,9,9,0,0,9.62775,9.0,12.0
67,2,1,0,1,1.627125,1.0,3.0
68,6,6,0,0,6.672125,6.0,9.0
69,4,3,0,1,3.623625,3.0,6.0
70,6,4,0,2,4.669375,4.0,7.0
71,5,5,0,0,5.692375,5.0,8.0
72,4,4,0,0,4.74125,4.0,7.0
73,5,5,0,0,5.705125,5.0,8.0
74,4,3,0,1,3.7195,3.0,6.0
75,5,5,0,0,5.811875,5.0,8.0
76,2,1,0,1,1.8345,1.0,4.0
77,7,7,0,0,7.9585,7.0,10.0
78,7,7,0,0,8.02575,7.0,10.0
79,4,3,0,1,4.025,3.0,7.0
80,9,8,0,1,9.057625,8.0,12.0
81,5,3,1,1,3.9865,3.0,6.0
82,3,2,0,1,2.999625,2.0,5.0
83,4,3,1,0,3.996375,3.0,6.0
84,3,3,0,0,4.031375,3.0,6.0
85,6,5,1,0,6.074125,5.0,8.0
86,3,3,0,0,3.993875,3.0,6.0
87,1,0,0,1,1.019625,0.0,4.0
88,6,3,3,0,4.07175,3.0,7.0
89,4,2,2,0,3.09325,2.0,6.0
90,1,1,0,0,2.111375,1.0,5.0
91,4,3,0,1,4.163,3.0,7.0
92,4,2,2,0,3.249875,2.0,6.0
93,4,2,2,0,3.232,2.0,6.0
94,2,1,1,0,2.211,1.0,5.0
95,4,3,1,0,4.184375,3.0,7.0
96,6,1,5,0,2.193375,1.0,5.0
97,1,0,1,0,1.0845,0.0,4.0
98,1,0,0,1,1.02625,0.0,4.0
99,1,0,1,0,1.053125,0.0,4.0
100,0,0,0,0,1.07675,0.0,4.0
101,5,1,4,0,2.192,1.0,5.0
102,1,1,0,0,2.2245,1.0,5.0
103,3,1,2,0,2.29375,1.0,5.0
104,2,1,1,0,2.241625,1.0,5.0
105,0,0,0,0,1.184875,0.0,4.0
106,0,0,0,0,1.21075,0.0,4.0
107,2,0,2,0,1.145125,0.0,4.0
108,5,0,5,0,1.11675,0.0,4.0
109,2,0,2,0,1.101375,0.0,4.0
110,1,0,1,0,1.050125,0.0,4.0
111,0,0,0,0,1.094,0.0,4.0
112,0,0,0,0,1.0715,0.0,4.0
113,2,0,2,0,1.078875,0.0,4.0
114,1,0,1,0,1.114375,0.0,4.0
115,1,0,1,0,1.09775,0.0,5.0
116,0,0,0,0,1.0995,0.0,5.0
117,0,0,0,0,1.069375,0.0,5.0
118,0,0,0,0,1.12,0.0,5.0
119,1,0,1,0,1.011,0.0,5.0
120,1,0,1,0,1.044375,0.0,5.0
